system,index,denominator,integer_form,verdict,provenance
"(3,6)",0,,"[1,1,1,0,0,0]",DESIGN-INT,direct
"(3,6)",1,2,"[2,1,1,1,1,0]",DESIGN-INT,direct
"(3,6)",2,4,"[3,3,2,2,1,1]",DESIGN-INT,direct
"(3,6)",3,2,"[1,1,1,1,1,1]",DESIGN-INT,direct
"(3,7)",0,,"[1,1,1,0,0,0,0]",DESIGN-INT,direct
"(3,7)",1,2,"[2,1,1,1,1,0,0]",DESIGN-INT,direct
"(3,7)",2,3,"[3,1,1,1,1,1,1]",DESIGN-INT,direct
"(3,7)",3,4,"[3,3,2,2,1,1,0]",DESIGN-INT,direct
"(3,7)",4,7,"[5,5,3,3,3,1,1]",DESIGN-INT,direct
"(3,7)",5,3,"[2,2,1,1,1,1,1]",DESIGN-INT,direct
"(3,7)",6,5,"[3,3,3,3,1,1,1]",DESIGN-INT,direct
"(3,7)",7,2,"[1,1,1,1,1,1,0]",DESIGN-INT,direct
"(3,7)",8,4,"[2,2,2,2,2,1,1]",DESIGN-INT,direct
"(3,7)",9,7,"[3,3,3,3,3,3,3]",DESIGN-INT,direct
"(3,8)",0,,"[1,1,1,0,0,0,0,0]",DESIGN-INT,direct
"(3,8)",1,2,"[2,1,1,1,1,0,0,0]",DESIGN-INT,direct
"(3,8)",2,3,"[3,1,1,1,1,1,1,0]",DESIGN-INT,direct
"(3,8)",3,7,"[6,3,3,3,2,2,1,1]",DESIGN-INT,direct
"(3,8)",4,6,"[5,3,2,2,2,2,1,1]",DESIGN-INT,direct
"(3,8)",5,5,"[4,3,2,2,1,1,1,1]",DESIGN-INT,direct
"(3,8)",6,15,"[12,6,6,5,5,5,3,3]",DESIGN-INT,direct
"(3,8)",7,14,"[11,6,6,5,5,5,2,2]",DESIGN-INT,direct
"(3,8)",8,4,"[3,3,2,2,1,1,0,0]",DESIGN-INT,direct
"(3,8)",9,12,"[9,6,4,4,4,3,3,3]",DESIGN-INT,direct
"(3,8)",10,12,"[9,5,5,5,3,3,3,3]",INTERFERENCE,direct
"(3,8)",11,16,"[12,6,6,6,6,6,3,3]",DESIGN-INT,direct
"(3,8)",12,7,"[5,5,3,3,3,1,1,0]",DESIGN-INT,direct
"(3,8)",13,7,"[5,5,3,3,2,1,1,1]",DESIGN-INT,direct
"(3,8)",14,10,"[7,7,4,4,4,2,1,1]",INTERFERENCE,direct
"(3,8)",15,10,"[7,5,5,5,2,2,2,2]",INTERFERENCE,direct
"(3,8)",16,13,"[9,9,5,5,3,3,3,2]",DESIGN-INT,direct
"(3,8)",17,16,"[11,11,6,6,4,4,3,3]",DESIGN-INT,direct
"(3,8)",18,6,"[4,4,3,3,1,1,1,1]",DESIGN-INT,direct
"(3,8)",19,9,"[6,6,4,4,4,1,1,1]",INTERFERENCE,direct
"(3,8)",20,18,"[12,12,7,7,4,4,4,4]",INTERFERENCE,direct
"(3,8)",21,3,"[2,2,1,1,1,1,1,0]",DESIGN-INT,direct
"(3,8)",22,6,"[4,4,2,2,2,2,1,1]",DESIGN-INT,direct
"(3,8)",23,9,"[6,6,3,3,3,2,2,2]",DESIGN-INT,direct
"(3,8)",24,9,"[6,5,5,5,2,2,1,1]",INTERFERENCE,direct
"(3,8)",25,3,"[2,1,1,1,1,1,1,1]",DESIGN-INT,direct
"(3,8)",26,5,"[3,3,3,3,1,1,1,0]",DESIGN-INT,direct
"(3,8)",27,10,"[6,6,3,3,3,3,3,3]",DESIGN-INT,direct
"(3,8)",28,15,"[9,8,8,8,3,3,3,3]",INTERFERENCE,direct
"(3,8)",29,7,"[4,4,4,4,2,1,1,1]",INTERFERENCE,direct
"(3,8)",30,16,"[9,9,9,9,4,4,2,2]",INTERFERENCE,direct
"(3,8)",31,18,"[10,10,10,10,4,4,3,3]",INTERFERENCE,direct
"(3,8)",32,28,"[15,15,15,15,6,6,6,6]",INTERFERENCE,direct
"(3,8)",33,2,"[1,1,1,1,1,1,0,0]",DESIGN-INT,direct
"(3,8)",34,4,"[2,2,2,2,2,1,1,0]",DESIGN-INT,direct
"(3,8)",35,6,"[3,3,3,3,3,1,1,1]",DESIGN-REAL,direct
"(3,8)",36,7,"[3,3,3,3,3,3,3,0]",DESIGN-INT,direct
"(3,8)",37,8,"[3,3,3,3,3,3,3,3]",DESIGN-INT,direct
"(3,9)",0,,"[1,1,1,0,0,0,0,0,0]",DESIGN-INT,direct
"(3,9)",1,2,"[2,1,1,1,1,0,0,0,0]",DESIGN-INT,direct
"(3,9)",2,3,"[3,1,1,1,1,1,1,0,0]",DESIGN-INT,direct
"(3,9)",3,4,"[4,1,1,1,1,1,1,1,1]",DESIGN-INT,direct
"(3,9)",4,7,"[6,3,3,3,2,2,1,1,0]",DESIGN-INT,direct
"(3,9)",5,6,"[5,3,2,2,2,2,1,1,0]",DESIGN-INT,direct
"(3,9)",6,5,"[4,3,2,2,1,1,1,1,0]",DESIGN-INT,direct
"(3,9)",7,15,"[12,6,6,5,5,5,3,3,0]",DESIGN-INT,direct
"(3,9)",8,14,"[11,6,6,5,5,5,2,2,0]",DESIGN-INT,direct
"(3,9)",9,13,"[10,6,6,6,4,4,1,1,1]",INTERFERENCE,direct
"(3,9)",10,4,"[3,3,2,2,1,1,0,0,0]",DESIGN-INT,direct
"(3,9)",11,12,"[9,6,6,6,3,3,1,1,1]",INTERFERENCE,direct
"(3,9)",12,12,"[9,6,4,4,4,3,3,3,0]",DESIGN-INT,direct
"(3,9)",13,12,"[9,5,5,5,3,3,3,3,0]",INTERFERENCE,direct
"(3,9)",14,16,"[12,6,6,6,6,6,3,3,0]",DESIGN-INT,direct
"(3,9)",15,11,"[8,7,5,5,2,2,2,1,1]",DESIGN-INT,direct
"(3,9)",16,11,"[8,6,4,4,4,4,1,1,1]",INTERFERENCE,direct
"(3,9)",17,7,"[5,5,3,3,3,1,1,0,0]",DESIGN-INT,direct
"(3,9)",18,7,"[5,5,3,3,2,1,1,1,0]",DESIGN-INT,direct
"(3,9)",19,10,"[7,7,4,4,4,2,1,1,0]",INTERFERENCE,direct
"(3,9)",20,10,"[7,7,4,4,4,1,1,1,1]",DESIGN-INT,direct
"(3,9)",21,10,"[7,7,4,4,2,2,2,1,1]",DESIGN-INT,direct
"(3,9)",22,10,"[7,5,5,5,2,2,2,2,0]",INTERFERENCE,direct
"(3,9)",23,13,"[9,9,6,6,3,2,2,1,1]",DESIGN-INT,direct
"(3,9)",24,13,"[9,9,5,5,3,3,3,2,0]",DESIGN-INT,direct
"(3,9)",25,16,"[11,11,6,6,4,4,3,3,0]",DESIGN-INT,direct
"(3,9)",26,19,"[13,13,7,7,4,4,4,4,1]",DESIGN-INT,direct
"(3,9)",27,6,"[4,4,3,3,1,1,1,1,0]",DESIGN-INT,direct
"(3,9)",28,9,"[6,6,4,4,4,1,1,1,0]",INTERFERENCE,direct
"(3,9)",29,12,"[8,8,5,5,2,2,2,2,2]",DESIGN-INT,direct
"(3,9)",30,15,"[10,10,6,6,6,4,1,1,1]",INTERFERENCE,direct
"(3,9)",31,18,"[12,12,7,7,4,4,4,4,0]",INTERFERENCE,direct
"(3,9)",32,3,"[2,2,1,1,1,1,1,0,0]",DESIGN-INT,direct
"(3,9)",33,6,"[4,4,2,2,2,2,1,1,0]",DESIGN-INT,direct
"(3,9)",34,9,"[6,6,3,3,3,3,1,1,1]",INTERFERENCE,direct
"(3,9)",35,9,"[6,6,3,3,3,2,2,2,0]",DESIGN-INT,direct
"(3,9)",36,9,"[6,5,5,5,2,2,1,1,0]",INTERFERENCE,direct
"(3,9)",37,15,"[10,8,8,8,4,4,1,1,1]",INTERFERENCE,direct
"(3,9)",38,3,"[2,1,1,1,1,1,1,1,0]",DESIGN-INT,direct
"(3,9)",39,8,"[5,5,2,2,2,2,2,2,2]",DESIGN-INT,direct
"(3,9)",40,13,"[8,8,6,6,6,2,1,1,1]",INTERFERENCE,direct
"(3,9)",41,5,"[3,3,3,3,1,1,1,0,0]",DESIGN-INT,direct
"(3,9)",42,10,"[6,6,5,5,4,1,1,1,1]",INTERFERENCE,direct
"(3,9)",43,10,"[6,6,3,3,3,3,3,3,0]",DESIGN-INT,direct
"(3,9)",44,15,"[9,8,8,8,3,3,3,3,0]",INTERFERENCE,direct
"(3,9)",45,7,"[4,4,4,4,2,1,1,1,0]",INTERFERENCE,direct
"(3,9)",46,7,"[4,4,4,4,1,1,1,1,1]",DESIGN-INT,direct
"(3,9)",47,16,"[9,9,9,9,4,4,2,2,0]",INTERFERENCE,direct
"(3,9)",48,18,"[10,10,10,10,4,4,3,3,0]",INTERFERENCE,direct
"(3,9)",49,11,"[6,6,6,6,4,2,1,1,1]",INTERFERENCE,direct
"(3,9)",50,28,"[15,15,15,15,6,6,6,6,0]",INTERFERENCE,direct
"(3,9)",51,2,"[1,1,1,1,1,1,0,0,0]",DESIGN-INT,direct
"(3,9)",52,4,"[2,2,2,2,2,1,1,0,0]",DESIGN-INT,direct
"(3,9)",53,6,"[3,3,3,3,3,1,1,1,0]",DESIGN-REAL,direct
"(3,9)",54,8,"[4,4,4,4,4,1,1,1,1]",DESIGN-INT,direct
"(3,9)",55,7,"[3,3,3,3,3,3,3,0,0]",DESIGN-INT,direct
"(3,9)",56,8,"[3,3,3,3,3,3,3,3,0]",DESIGN-INT,direct
"(3,9)",57,3,"[1,1,1,1,1,1,1,1,1]",DESIGN-INT,direct
"(3,10)",0,,"[1,1,1,0,0,0,0,0,0,0]",DESIGN-INT,direct
"(3,10)",1,2,"[2,1,1,1,1,0,0,0,0,0]",DESIGN-INT,direct
"(3,10)",2,3,"[3,1,1,1,1,1,1,0,0,0]",DESIGN-INT,direct
"(3,10)",3,4,"[4,1,1,1,1,1,1,1,1,0]",DESIGN-INT,direct
"(3,10)",4,10,"[9,3,3,3,3,3,2,2,1,1]",DESIGN-INT,direct
"(3,10)",5,9,"[8,3,3,3,2,2,2,2,1,1]",DESIGN-INT,direct
"(3,10)",6,8,"[7,3,3,3,2,2,1,1,1,1]",DESIGN-INT,direct
"(3,10)",7,8,"[7,3,2,2,2,2,2,2,1,1]",DESIGN-INT,direct
"(3,10)",8,7,"[6,3,3,3,2,2,1,1,0,0]",DESIGN-INT,direct
"(3,10)",9,7,"[6,3,2,2,2,2,1,1,1,1]",DESIGN-INT,direct
"(3,10)",10,21,"[18,6,6,6,6,5,5,5,3,3]",DESIGN-INT,direct
"(3,10)",11,20,"[17,6,6,6,6,5,5,5,2,2]",DESIGN-INT,direct
"(3,10)",12,20,"[17,6,6,5,5,5,5,5,3,3]",DESIGN-INT,direct
"(3,10)",13,19,"[16,6,6,5,5,5,5,5,2,2]",DESIGN-INT,direct
"(3,10)",14,6,"[5,3,2,2,2,2,1,1,0,0]",DESIGN-INT,direct
"(3,10)",15,6,"[5,3,2,2,1,1,1,1,1,1]",DESIGN-INT,direct
"(3,10)",16,36,"[30,10,10,10,9,9,9,9,6,6]",DESIGN-INT,direct
"(3,10)",17,17,"[14,5,5,5,5,5,3,3,3,3]",INTERFERENCE,direct
"(3,10)",18,33,"[27,10,10,10,9,9,9,9,3,3]",DESIGN-INT,direct
"(3,10)",19,22,"[18,6,6,6,6,6,6,6,3,3]",DESIGN-INT,direct
"(3,10)",20,16,"[13,6,4,4,4,4,4,3,3,3]",DESIGN-INT,direct
"(3,10)",21,5,"[4,3,2,2,1,1,1,1,0,0]",DESIGN-INT,direct
"(3,10)",22,15,"[12,6,6,5,5,5,3,3,0,0]",DESIGN-INT,direct
"(3,10)",23,15,"[12,6,4,4,4,3,3,3,3,3]",DESIGN-INT,direct
"(3,10)",24,15,"[12,5,5,5,5,5,2,2,2,2]",INTERFERENCE,direct
"(3,10)",25,15,"[12,5,5,5,3,3,3,3,3,3]",INTERFERENCE,direct
"(3,10)",26,14,"[11,6,6,5,5,5,2,2,0,0]",DESIGN-INT,direct
"(3,10)",27,28,"[22,10,7,7,7,7,6,6,6,6]",DESIGN-INT,direct
"(3,10)",28,13,"[10,6,6,6,4,4,1,1,1,0]",INTERFERENCE,direct
"(3,10)",29,4,"[3,3,2,2,1,1,0,0,0,0]",DESIGN-INT,direct
"(3,10)",30,12,"[9,6,6,6,3,3,1,1,1,0]",INTERFERENCE,direct
"(3,10)",31,12,"[9,6,4,4,4,3,3,3,0,0]",DESIGN-INT,direct
"(3,10)",32,12,"[9,6,3,3,3,3,3,2,2,2]",DESIGN-INT,direct
"(3,10)",33,12,"[9,5,5,5,3,3,3,3,0,0]",INTERFERENCE,direct
"(3,10)",34,12,"[9,5,5,5,2,2,2,2,2,2]",INTERFERENCE,direct
"(3,10)",35,16,"[12,6,6,6,6,6,3,3,0,0]",DESIGN-INT,direct
"(3,10)",36,4,"[3,1,1,1,1,1,1,1,1,1]",DESIGN-INT,direct
"(3,10)",37,11,"[8,7,5,5,2,2,2,1,1,0]",DESIGN-INT,direct
"(3,10)",38,11,"[8,6,4,4,4,4,1,1,1,0]",INTERFERENCE,direct
"(3,10)",39,11,"[8,6,3,3,3,2,2,2,2,2]",DESIGN-INT,direct
"(3,10)",40,18,"[13,9,9,9,5,5,1,1,1,1]",INTERFERENCE,direct
"(3,10)",41,7,"[5,5,3,3,3,1,1,0,0,0]",DESIGN-INT,direct
"(3,10)",42,7,"[5,5,3,3,2,1,1,1,0,0]",DESIGN-INT,direct
"(3,10)",43,10,"[7,7,4,4,4,2,1,1,0,0]",INTERFERENCE,direct
"(3,10)",44,10,"[7,7,4,4,4,1,1,1,1,0]",DESIGN-INT,direct
"(3,10)",45,10,"[7,7,4,4,3,1,1,1,1,1]",DESIGN-INT,direct
"(3,10)",46,10,"[7,7,4,4,2,2,2,1,1,0]",DESIGN-INT,direct
"(3,10)",47,10,"[7,5,5,5,2,2,2,2,0,0]",INTERFERENCE,direct
"(3,10)",48,13,"[9,9,6,6,3,2,2,1,1,0]",DESIGN-INT,direct
"(3,10)",49,13,"[9,9,5,5,5,2,1,1,1,1]",INTERFERENCE,direct
"(3,10)",50,13,"[9,9,5,5,3,3,3,2,0,0]",DESIGN-INT,direct
"(3,10)",51,13,"[9,6,3,3,3,3,3,3,3,3]",DESIGN-INT,direct
"(3,10)",52,16,"[11,11,7,7,3,3,3,1,1,1]",DESIGN-INT,direct
"(3,10)",53,16,"[11,11,6,6,6,2,2,2,1,1]",DESIGN-INT,direct
"(3,10)",54,16,"[11,11,6,6,4,4,3,3,0,0]",DESIGN-INT,direct
"(3,10)",55,16,"[11,11,6,6,3,3,3,3,1,1]",DESIGN-INT,direct
"(3,10)",56,19,"[13,13,7,7,4,4,4,4,1,0]",DESIGN-INT,direct
"(3,10)",57,28,"[19,19,10,10,6,6,6,6,1,1]",INTERFERENCE,direct
"(3,10)",58,6,"[4,4,3,3,1,1,1,1,0,0]",DESIGN-INT,direct
"(3,10)",59,9,"[6,6,4,4,4,1,1,1,0,0]",INTERFERENCE,direct
"(3,10)",60,12,"[8,8,5,5,5,1,1,1,1,1]",INTERFERENCE,direct
"(3,10)",61,12,"[8,8,5,5,2,2,2,2,2,0]",DESIGN-INT,direct
"(3,10)",62,15,"[10,10,6,6,6,4,1,1,1,0]",INTERFERENCE,direct
"(3,10)",63,18,"[12,12,7,7,4,4,4,4,0,0]",INTERFERENCE,direct
"(3,10)",64,3,"[2,2,1,1,1,1,1,0,0,0]",DESIGN-INT,direct
"(3,10)",65,6,"[4,4,2,2,2,2,1,1,0,0]",DESIGN-INT,direct
"(3,10)",66,9,"[6,6,3,3,3,3,1,1,1,0]",INTERFERENCE,direct
"(3,10)",67,9,"[6,6,3,3,3,2,2,2,0,0]",DESIGN-INT,direct
"(3,10)",68,15,"[10,10,5,5,5,2,2,2,2,2]",INTERFERENCE,direct
"(3,10)",69,6,"[4,4,2,2,1,1,1,1,1,1]",DESIGN-INT,direct
"(3,10)",70,9,"[6,5,5,5,2,2,1,1,0,0]",INTERFERENCE,direct
"(3,10)",71,15,"[10,8,8,8,4,4,1,1,1,0]",INTERFERENCE,direct
"(3,10)",72,3,"[2,1,1,1,1,1,1,1,0,0]",DESIGN-INT,direct
"(3,10)",73,14,"[9,9,5,5,5,5,1,1,1,1]",INTERFERENCE,direct
"(3,10)",74,14,"[9,9,4,4,4,4,2,2,2,2]",DESIGN-REAL,direct
"(3,10)",75,14,"[9,7,7,7,2,2,2,2,2,2]",INTERFERENCE,direct
"(3,10)",76,11,"[7,7,3,3,3,2,2,2,2,2]",DESIGN-INT,direct
"(3,10)",77,11,"[7,6,6,6,2,2,1,1,1,1]",INTERFERENCE,direct
"(3,10)",78,8,"[5,5,4,4,1,1,1,1,1,1]",DESIGN-INT,direct
"(3,10)",79,8,"[5,5,2,2,2,2,2,2,2,0]",DESIGN-INT,direct
"(3,10)",80,8,"[5,5,2,2,2,2,2,2,1,1]",DESIGN-INT,direct
"(3,10)",81,24,"[15,15,6,6,6,6,6,4,4,4]",INTERFERENCE,direct
"(3,10)",82,16,"[10,10,4,4,4,4,3,3,3,3]",DESIGN-INT,direct
"(3,10)",83,13,"[8,8,6,6,6,2,1,1,1,0]",INTERFERENCE,direct
"(3,10)",84,13,"[8,7,7,7,2,2,2,2,1,1]",DESIGN-INT,direct
"(3,10)",85,5,"[3,3,3,3,1,1,1,0,0,0]",DESIGN-INT,direct
"(3,10)",86,10,"[6,6,5,5,4,1,1,1,1,0]",INTERFERENCE,direct
"(3,10)",87,10,"[6,6,3,3,3,3,3,3,0,0]",DESIGN-INT,direct
"(3,10)",88,15,"[9,8,8,8,3,3,3,3,0,0]",INTERFERENCE,direct
"(3,10)",89,26,"[15,15,6,6,6,6,6,6,6,6]",INTERFERENCE,direct
"(3,10)",90,7,"[4,4,4,4,2,1,1,1,0,0]",INTERFERENCE,direct
"(3,10)",91,7,"[4,4,4,4,1,1,1,1,1,0]",DESIGN-INT,direct
"(3,10)",92,21,"[12,11,11,11,3,3,3,3,3,3]",INTERFERENCE,direct
"(3,10)",93,16,"[9,9,9,9,4,4,2,2,0,0]",INTERFERENCE,direct
"(3,10)",94,16,"[9,9,9,9,3,3,2,2,1,1]",DESIGN-INT,direct
"(3,10)",95,18,"[10,10,10,10,4,4,3,3,0,0]",INTERFERENCE,direct
"(3,10)",96,9,"[5,5,5,5,2,1,1,1,1,1]",INTERFERENCE,direct
"(3,10)",97,18,"[10,10,10,10,3,3,3,3,1,1]",INTERFERENCE,direct
"(3,10)",98,20,"[11,11,11,11,4,4,2,2,2,2]",INTERFERENCE,direct
"(3,10)",99,20,"[11,11,11,11,3,3,3,3,2,2]",INTERFERENCE,direct
"(3,10)",100,11,"[6,6,6,6,4,2,1,1,1,0]",INTERFERENCE,direct
"(3,10)",101,24,"[13,13,13,13,4,4,3,3,3,3]",INTERFERENCE,direct
"(3,10)",102,28,"[15,15,15,15,6,6,6,6,0,0]",INTERFERENCE,direct
"(3,10)",103,34,"[18,18,18,18,5,5,5,5,5,5]",INTERFERENCE,direct
"(3,10)",104,2,"[1,1,1,1,1,1,0,0,0,0]",DESIGN-INT,direct
"(3,10)",105,4,"[2,2,2,2,2,1,1,0,0,0]",DESIGN-INT,direct
"(3,10)",106,6,"[3,3,3,3,3,1,1,1,0,0]",DESIGN-REAL,direct
"(3,10)",107,8,"[4,4,4,4,4,1,1,1,1,0]",DESIGN-INT,direct
"(3,10)",108,10,"[5,5,5,5,5,1,1,1,1,1]",INTERFERENCE,direct
"(3,10)",109,7,"[3,3,3,3,3,3,3,0,0,0]",DESIGN-INT,direct
"(3,10)",110,8,"[3,3,3,3,3,3,3,3,0,0]",DESIGN-INT,direct
"(3,10)",111,3,"[1,1,1,1,1,1,1,1,1,0]",DESIGN-INT,direct
"(3,10)",112,10,"[3,3,3,3,3,3,3,3,3,3]",DESIGN-INT,direct
"(4,8)",0,,"[1,1,1,1,0,0,0,0]",DESIGN-INT,direct
"(4,8)",1,2,"[2,2,1,1,1,1,0,0]",DESIGN-INT,direct
"(4,8)",2,3,"[3,3,1,1,1,1,1,1]",DESIGN-INT,direct
"(4,8)",3,4,"[4,3,3,2,2,1,1,0]",DESIGN-INT,direct
"(4,8)",4,7,"[7,5,5,3,3,3,1,1]",DESIGN-INT,direct
"(4,8)",5,3,"[3,2,2,1,1,1,1,1]",DESIGN-INT,direct
"(4,8)",6,5,"[5,3,3,3,3,1,1,1]",DESIGN-INT,direct
"(4,8)",7,2,"[2,1,1,1,1,1,1,0]",DESIGN-INT,direct
"(4,8)",8,4,"[4,2,2,2,2,2,1,1]",DESIGN-INT,direct
"(4,8)",9,7,"[7,3,3,3,3,3,3,3]",DESIGN-INT,direct
"(4,8)",10,7,"[6,6,4,4,4,2,2,0]",DESIGN-INT,direct
"(4,8)",11,6,"[5,5,5,3,3,1,1,1]",DESIGN-INT,direct
"(4,8)",12,5,"[4,4,4,2,2,2,2,0]",DESIGN-INT,direct
"(4,8)",13,5,"[4,4,4,2,2,2,1,1]",DESIGN-INT,direct
"(4,8)",14,5,"[4,4,3,3,3,1,1,1]",DESIGN-INT,direct
"(4,8)",15,9,"[7,7,7,3,3,3,3,3]",DESIGN-INT,direct
"(4,8)",16,4,"[3,3,2,2,2,2,2,0]",DESIGN-INT,direct
"(4,8)",17,3,"[2,2,2,2,2,2,0,0]",DESIGN-INT,direct
"(4,8)",18,3,"[2,2,2,2,2,1,1,0]",DESIGN-INT,direct
"(4,8)",19,9,"[6,6,6,6,6,2,2,2]",DESIGN-INT,direct
"(4,8)",20,7,"[4,4,4,4,4,4,4,0]",DESIGN-INT,direct
"(4,8)",21,2,"[1,1,1,1,1,1,1,1]",DESIGN-INT,direct
"(4,9)",0,,"[1,1,1,1,0,0,0,0,0]",DESIGN-INT,direct
"(4,9)",1,2,"[2,2,1,1,1,1,0,0,0]",DESIGN-INT,direct
"(4,9)",2,3,"[3,3,1,1,1,1,1,1,0]",DESIGN-INT,direct
"(4,9)",3,7,"[7,6,3,3,3,2,2,1,1]",DESIGN-INT,direct
"(4,9)",4,6,"[6,5,3,2,2,2,2,1,1]",DESIGN-INT,direct
"(4,9)",5,5,"[5,4,3,2,2,1,1,1,1]",DESIGN-INT,direct
"(4,9)",6,15,"[15,12,6,6,5,5,5,3,3]",DESIGN-INT,direct
"(4,9)",7,14,"[14,11,6,6,5,5,5,2,2]",DESIGN-INT,direct
"(4,9)",8,4,"[4,3,3,2,2,1,1,0,0]",DESIGN-INT,direct
"(4,9)",9,12,"[12,9,6,4,4,4,3,3,3]",DESIGN-INT,direct
"(4,9)",10,12,"[12,9,5,5,5,3,3,3,3]",INTERFERENCE,direct
"(4,9)",11,16,"[16,12,6,6,6,6,6,3,3]",DESIGN-INT,direct
"(4,9)",12,7,"[7,5,5,3,3,3,1,1,0]",DESIGN-INT,direct
"(4,9)",13,7,"[7,5,5,3,3,2,1,1,1]",DESIGN-INT,direct
"(4,9)",14,10,"[10,7,7,4,4,4,2,1,1]",INTERFERENCE,direct
"(4,9)",15,10,"[10,7,5,5,5,2,2,2,2]",INTERFERENCE,direct
"(4,9)",16,13,"[13,9,9,5,5,3,3,3,2]",DESIGN-INT,direct
"(4,9)",17,16,"[16,11,11,6,6,4,4,3,3]",DESIGN-INT,direct
"(4,9)",18,6,"[6,4,4,3,3,1,1,1,1]",DESIGN-INT,direct
"(4,9)",19,9,"[9,6,6,4,4,4,1,1,1]",INTERFERENCE,direct
"(4,9)",20,18,"[18,12,12,7,7,4,4,4,4]",INTERFERENCE,direct
"(4,9)",21,3,"[3,2,2,1,1,1,1,1,0]",DESIGN-INT,direct
"(4,9)",22,6,"[6,4,4,2,2,2,2,1,1]",DESIGN-INT,direct
"(4,9)",23,9,"[9,6,6,3,3,3,2,2,2]",DESIGN-INT,direct
"(4,9)",24,9,"[9,6,5,5,5,2,2,1,1]",INTERFERENCE,direct
"(4,9)",25,3,"[3,2,1,1,1,1,1,1,1]",DESIGN-INT,direct
"(4,9)",26,5,"[5,3,3,3,3,1,1,1,0]",DESIGN-INT,direct
"(4,9)",27,10,"[10,6,6,3,3,3,3,3,3]",DESIGN-INT,direct
"(4,9)",28,15,"[15,9,8,8,8,3,3,3,3]",INTERFERENCE,direct
"(4,9)",29,7,"[7,4,4,4,4,2,1,1,1]",INTERFERENCE,direct
"(4,9)",30,16,"[16,9,9,9,9,4,4,2,2]",INTERFERENCE,direct
"(4,9)",31,18,"[18,10,10,10,10,4,4,3,3]",INTERFERENCE,direct
"(4,9)",32,28,"[28,15,15,15,15,6,6,6,6]",INTERFERENCE,direct
"(4,9)",33,2,"[2,1,1,1,1,1,1,0,0]",DESIGN-INT,direct
"(4,9)",34,4,"[4,2,2,2,2,2,1,1,0]",DESIGN-INT,direct
"(4,9)",35,6,"[6,3,3,3,3,3,1,1,1]",DESIGN-REAL,direct
"(4,9)",36,7,"[7,3,3,3,3,3,3,3,0]",DESIGN-INT,direct
"(4,9)",37,8,"[8,3,3,3,3,3,3,3,3]",DESIGN-INT,direct
"(4,9)",38,21,"[20,12,12,12,12,4,4,4,4]",INTERFERENCE,direct
"(4,9)",39,17,"[16,12,12,6,6,4,4,4,4]",DESIGN-INT,direct
"(4,9)",40,15,"[14,11,11,6,6,6,2,2,2]",INTERFERENCE,direct
"(4,9)",41,15,"[14,11,11,6,6,3,3,3,3]",DESIGN-INT,direct
"(4,9)",42,15,"[14,9,9,9,9,3,3,2,2]",INTERFERENCE,direct
"(4,9)",43,13,"[12,12,6,5,5,4,4,2,2]",DESIGN-INT,direct
"(4,9)",44,12,"[11,11,6,5,5,3,3,2,2]",DESIGN-INT,direct
"(4,9)",45,24,"[22,22,10,10,10,7,7,4,4]",DESIGN-INT,direct
"(4,9)",46,12,"[11,9,9,5,5,5,2,1,1]",DESIGN-INT,direct
"(4,9)",47,12,"[11,8,7,7,7,2,2,2,2]",INTERFERENCE,direct
"(4,9)",48,23,"[21,21,10,10,10,7,7,3,3]",DESIGN-INT,direct
"(4,9)",49,11,"[10,10,6,5,5,3,3,1,1]",DESIGN-INT,direct
"(4,9)",50,11,"[10,10,6,4,4,3,3,2,2]",DESIGN-INT,direct
"(4,9)",51,22,"[20,20,10,10,10,6,6,3,3]",DESIGN-INT,direct
"(4,9)",52,11,"[10,10,4,4,4,4,4,2,2]",DESIGN-INT,direct
"(4,9)",53,11,"[10,8,8,5,5,5,1,1,1]",DESIGN-INT,direct
"(4,9)",54,21,"[19,19,10,7,7,7,7,4,4]",DESIGN-INT,direct
"(4,9)",55,10,"[9,9,6,4,4,3,3,1,1]",DESIGN-INT,direct
"(4,9)",56,20,"[18,18,10,7,7,7,7,3,3]",DESIGN-INT,direct
"(4,9)",57,10,"[9,7,6,6,6,2,2,1,1]",DESIGN-INT,direct
"(4,9)",58,9,"[8,8,6,4,4,2,2,1,1]",DESIGN-INT,direct
"(4,9)",59,18,"[16,16,10,7,7,4,4,4,4]",DESIGN-INT,direct
"(4,9)",60,18,"[16,16,10,6,6,6,6,3,3]",DESIGN-INT,direct
"(4,9)",61,9,"[8,8,4,4,4,2,2,2,2]",DESIGN-INT,direct
"(4,9)",62,9,"[8,7,7,4,4,3,1,1,1]",DESIGN-INT,direct
"(4,9)",63,16,"[14,14,10,7,7,3,3,3,3]",DESIGN-INT,direct
"(4,9)",64,8,"[7,5,5,5,5,2,1,1,1]",DESIGN-INT,direct
"(4,9)",65,23,"[20,14,14,14,14,4,4,4,4]",INTERFERENCE,direct
"(4,9)",66,15,"[13,13,10,6,6,3,3,3,3]",DESIGN-INT,direct
"(4,9)",67,14,"[12,12,10,7,7,3,3,1,1]",DESIGN-INT,direct
"(4,9)",68,7,"[6,6,4,4,4,2,2,0,0]",DESIGN-INT,direct
"(4,9)",69,7,"[6,6,4,2,2,2,2,2,2]",DESIGN-INT,direct
